phrase,verb-type,theme-type,phrase-type,fertilizer,insecticide,freezer,icing,canister,wrench,pump,oven,duster,vacuum,lubricant,knife,utensil,lacquer,dehydrator,saw,towel,food,polisher,vinegar,slingshot,pitcher,furnace,hammer,paint,organizer,dryer,glue,net,scissors,chisel
harden tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry shirt,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut shirt,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry pants,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut pants,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry sock,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut sock,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden sock,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat sock,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal pine,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut pine,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal mahogany,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut mahogany,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal ash,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut ash,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden ash,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat ash,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust googles,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean googles,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust glove,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean glove,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust faceshield,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean faceshield,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden faceshield,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat faceshield,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate tablesaw,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean tablesaw,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate beltsander,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean beltsander,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate workstation,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean workstation,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden workstation,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat workstation,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer coolant,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour coolant,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer anti-freeze,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour anti-freeze,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer brake-fluid,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour brake-fluid,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden brake-fluid,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat brake-fluid,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish car,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate car,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish truck,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate truck,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish motorcycle,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate motorcycle,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden motorcycle,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat motorcycle,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot granite,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve granite,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot limestone,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve limestone,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot marble,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve marble,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden marble,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat marble,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden iron,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat iron,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden steel,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat steel,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden copper,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat copper,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate copper,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot copper,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
